nasai17_1115120	 أخبرنا قتيبة بن سعيد عن مالك عن شريك بن	أخبرنا عبد الله بن أبي نمر عن أنس بن مالك قال جاء رجل إلى رسول الله صلى الله عليه وسلم فقال يا رسول الله هلكت المواشي وانقطعت السبل فادع الله عز وجل فدعا رسول الله صلى الله عليه وسلم فمطرنا من الجمعة إلى الجمعة فجاء رجل إلى رسول الله صلى الله عليه وسلم فقال يا رسول الله تهدمت البيوت وانقطعت السبل وهلكت المواشي فقال اللهم على رءوس الجبال والآكام وبطون الأودية ومنابت الشجر فانجابت عن المدينة انجياب الثوب 	 أخبرنا قتيبة بن سعيد عن مالك عن شريك بن عبد الله بن أبي نمر عن أنس بن مالك قال جاء رجل إلى رسول الله صلى الله عليه وسلم فقال يا رسول الله هلكت المواشي وانقطعت السبل فادع الله عز وجل فدعا رسول الله صلى الله عليه وسلم فمطرنا من الجمعة إلى الجمعة فجاء رجل إلى رسول الله صلى الله عليه وسلم فقال يا رسول الله تهدمت البيوت وانقطعت السبل وهلكت المواشي فقال اللهم على رءوس الجبال والآكام وبطون الأودية ومنابت الشجر فانجابت عن المدينة انجياب الثوب 	" It was narrated that Anas bin Malik said: ""A man came to the Messenger of Allah (SL3M) and said: 'O Messenger of Allah, the livestock have died and the routes have been cut off; pray to Allah (SWT), the Mighty and Sublime.' So the Messenger of Allah (SL3M) prayed to Allah (SWT) and it rained from that Friday until the next. Then a man came to the Messenger of Allah (SL3M) and said: 'The houses have been destroyed, the routes have been cut off and the livestock have died.' He said: 'O Allah, on the tops of the mountains and hills, in the bottom of the valleys and where the trees grow.' So (the rain) was lifted from Al-Madinah like a garment being removed."" (Sahih) "
nasai17_1115130	not identified	 أخبرني محمد بن منصور قال حدثنا سفيان قال حدثنا المسعودي عن أبي بكر بن عمرو بن حزم عن عباد بن تميم قال سفيان فسألت عبد الله بن أبي بكر فقال سمعته من عباد بن تميم يحدث أبي أن عبد الله بن زيد الذي أري النداء قال إن رسول الله صلى الله عليه وسلم خرج إلى المصلى يستسقي فاستقبل القبلة وقلب رداءه وصلى ركعتين قال أبو عبد الرحمن هذا غلط من ابن عيينة وعبد الله بن زيد الذي أري النداء هو عبد الله بن زيد بن عبد ربه وهذا عبد الله بن زيد بن عاصم 	 أخبرني محمد بن منصور قال حدثنا سفيان قال حدثنا المسعودي عن أبي بكر بن عمرو بن حزم عن عباد بن تميم قال سفيان فسألت عبد الله بن أبي بكر فقال سمعته من عباد بن تميم يحدث أبي أن عبد الله بن زيد الذي أري النداء قال إن رسول الله صلى الله عليه وسلم خرج إلى المصلى يستسقي فاستقبل القبلة وقلب رداءه وصلى ركعتين قال أبو عبد الرحمن هذا غلط من ابن عيينة وعبد الله بن زيد الذي أري النداء هو عبد الله بن زيد بن عبد ربه وهذا عبد الله بن زيد بن عاصم 	" It was narrated from 'Abbad bin Tamim: ""Sufyan said: 'I asked 'Abdullah bin Abi Bakr who said: I heard it from Abbad bin Tamim who narrated it from his father, that 'Abdullah bin Zaid, who was shown the call to prayer (in a dream) said: 'The Messenger of Allah (SL3M) went out to the prayer place to pray for rain. He faced the kiblah and turned his cloak around and prayed two rak'ahs.'"" (Sahih) "
nasai17_1115140	 أخبرنا إسحاق بن منصور ومحمد بن المثنى عن عبد الرحمن عن سفيان عن هشام بن إسحاق بن	عن عبد الله بن كنانة عن أبيه قال أرسلني فلان إلى ابن عباس أسأله عن صلاة رسول الله صلى الله عليه وسلم في الاستسقاء فقال خرج رسول الله صلى الله عليه وسلم متضرعا متواضعا متبذلا فلم يخطب نحو خطبتكم هذه فصلى ركعتين 	 أخبرنا إسحاق بن منصور ومحمد بن المثنى عن عبد الرحمن عن سفيان عن هشام بن إسحاق بن عبد الله بن كنانة عن أبيه قال أرسلني فلان إلى ابن عباس أسأله عن صلاة رسول الله صلى الله عليه وسلم في الاستسقاء فقال خرج رسول الله صلى الله عليه وسلم متضرعا متواضعا متبذلا فلم يخطب نحو خطبتكم هذه فصلى ركعتين 	" It was narrated from Hisham bin Ishaq bin Abdullah bin Kinanah that : His father said: ""So and so sent me to ask him how the Messenger of Allah (SL3M) prayed for rain (Istisqa')."" He said: 'The Messenger of Allah (SL3M) went out beseeching and humble, (dressed) in a state of humility. He did not give a Khutbah like this Khutbah of yours, and he prayed two rak'ahs.'"" (Hasan) "
nasai17_1115150	 أخبرنا قتيبة قال حدثنا عبد العزيز عن عمارة بن	أخبرنا غزية عن عباد بن تميم عن عبد الله بن زيد أن رسول الله صلى الله عليه وسلم استسقى وعليه خميصة سوداء 	 أخبرنا قتيبة قال حدثنا عبد العزيز عن عمارة بن غزية عن عباد بن تميم عن عبد الله بن زيد أن رسول الله صلى الله عليه وسلم استسقى وعليه خميصة سوداء 	 It was narrated from Abdullah bin Zaid that: The Messenger of Allah (SL3M) prayed for rain wearing a black khamisah. (Sahih) 
nasai17_1115160	 أخبرنا محمد بن عبيد بن محمد قال حدثنا حاتم بن	أخبرنا إسماعيل عن هشام بن إسحاق بن عبد الله بن كنانة عن أبيه قال سألت ابن عباس عن صلاة رسول الله صلى الله عليه وسلم في الاستسقاء فقال خرج رسول الله صلى الله عليه وسلم متبذلا متواضعا متضرعا فجلس على المنبر فلم يخطب خطبتكم هذه ولكن لم يزل في الدعاء والتضرع والتكبير وصلى ركعتين كما كان يصلي في العيدين 	 أخبرنا محمد بن عبيد بن محمد قال حدثنا حاتم بن إسماعيل عن هشام بن إسحاق بن عبد الله بن كنانة عن أبيه قال سألت ابن عباس عن صلاة رسول الله صلى الله عليه وسلم في الاستسقاء فقال خرج رسول الله صلى الله عليه وسلم متبذلا متواضعا متضرعا فجلس على المنبر فلم يخطب خطبتكم هذه ولكن لم يزل في الدعاء والتضرع والتكبير وصلى ركعتين كما كان يصلي في العيدين 	" It was narrated from Hisham binIshaq bin Abdullah bin Kinanah that: His father said: ""I asked Ibn 'Abbas how the Messenger of Allah (SL3M) prayed for rain. He said: 'The Messenger of Allah (SL3M) went out (dressed) in a state of humility, beseeching and humble. He sat on the minbar but he did not deliver a Khutbah like this Khutbah of yours, rather he kept supplicating, beseeching and saying the takbir, and he prayed two rak'ahs as he used to do during the two 'Eids.'"" (Hasan) "
nasai17_1115170	not identified	 أخبرني عمرو بن عثمان قال حدثنا الوليد عن ابن أبي ذئب عن الزهري عن عباد بن تميم أن عمه حدثه أنه خرج مع رسول الله صلى الله عليه وسلم يستسقي فحول رداءه وحول للناس ظهره ودعا ثم صلى ركعتين فقرأ فجهر 	 أخبرني عمرو بن عثمان قال حدثنا الوليد عن ابن أبي ذئب عن الزهري عن عباد بن تميم أن عمه حدثه أنه خرج مع رسول الله صلى الله عليه وسلم يستسقي فحول رداءه وحول للناس ظهره ودعا ثم صلى ركعتين فقرأ فجهر 	 It was narrated from Abbad bin Tamim that : His paternal uncle had told him that he went out with the Messenger of Allah (SL3M) to pray for rain. He turned his rida' around, and turned his back to the people, then he prayed two rak'ahs and recited loudly. (Sahih) 
nasai17_1115180	 أخبرنا قتيبة عن سفيان عن عبد الله بن	أخبرنا أبي بكر عن عباد بن تميم عن عمه أن النبي صلى الله عليه وسلم استسقى وصلى ركعتين وقلب رداءه 	 أخبرنا قتيبة عن سفيان عن عبد الله بن أبي بكر عن عباد بن تميم عن عمه أن النبي صلى الله عليه وسلم استسقى وصلى ركعتين وقلب رداءه 	 It was narrated from 'Abbad bin Tamim, from his paternal uncle that: The Prophet (SL3M) prayed for rain, and prayed two rak'ahs, and turned his rida' around. (Sahih) 
nasai17_1115190	 أخبرنا قتيبة عن مالك عن عبد الله بن	أخبرنا أبي بكر أنه سمع عباد بن تميم يقول سمعت عبد الله بن زيد يقول خرج رسول الله صلى الله عليه وسلم فاستسقى وحول رداءه حين استقبل القبلة 	 أخبرنا قتيبة عن مالك عن عبد الله بن أبي بكر أنه سمع عباد بن تميم يقول سمعت عبد الله بن زيد يقول خرج رسول الله صلى الله عليه وسلم فاستسقى وحول رداءه حين استقبل القبلة 	" It was narrated from Abdullah bin Abi Bakr that: He heard Abbad bin Tamim said: ""The Messenger of Allah (SL3M) went out and prayed for rain, and he turned his rida' around when he turned to the Qiblah."" (Sahih) "
nasai17_1115200	 أخبرنا هشام بن عبد الملك أبو تقي الحمصي قال حدثنا بقية عن شعيب عن الزهري عن عباد بن	حدثنا تميم عن عمه أنه رأى رسول الله صلى الله عليه وسلم في الاستسقاء استقبل القبلة وقلب الرداء ورفع يديه 	 أخبرنا هشام بن عبد الملك أبو تقي الحمصي قال حدثنا بقية عن شعيب عن الزهري عن عباد بن تميم عن عمه أنه رأى رسول الله صلى الله عليه وسلم في الاستسقاء استقبل القبلة وقلب الرداء ورفع يديه 	 It was narrated from 'Abbad bin Tamim, from his paternal uncle, that: He saw the Messenger of Allah (SL3M), when he prayed for rain, turn to face the Qiblah, turning his cloak around and raising his hands. (Sahih) 
nasai17_1115210	not identified	 أخبرني شعيب بن يوسف عن يحيى بن سعيد القطان عن سعيد عن قتادة عن أنس قال كان رسول الله صلى الله عليه وسلم لا يرفع يديه في شىء من الدعاء إلا في الاستسقاء فإنه كان يرفع يديه حتى يرى بياض إبطيه 	 أخبرني شعيب بن يوسف عن يحيى بن سعيد القطان عن سعيد عن قتادة عن أنس قال كان رسول الله صلى الله عليه وسلم لا يرفع يديه في شىء من الدعاء إلا في الاستسقاء فإنه كان يرفع يديه حتى يرى بياض إبطيه 	" It was narrated that Anas said: ""The Messenger of Allah (SL3M) did not raise his hands during any supplication except when praying for rain, when he used to raise his hands so high that the whiteness of his armpits could be seen."" (Sahih) "
